title,release_date,pages,publisher,description,barcode,isbn,edition,category,rating,book_id,image_fpath,summary,price
Art and politics :cartoonists of the 'Masses' and 'Liberator',01/01/1973,,Greenwood Press,,10959342,837160065,1,"American cartoons, 1911-1924",,86240,,,
The encyclopedia of comic book heroes,01/01/1976,,Collier Books,,6716315,20800800,1,American comics,,86242,,,
Dracula Lives.,01/01/1974,,Marvel Comics International Ltd,,7007657,,1,American comics,,86246,,,
Planet of the Apes.,01/01/1974,,Marvel Comics International Ltd,,7007678,,1,American comics,,86247,,,
The Spider-man comic.,01/01/1985,,Marvel,,7738377,,1,American comics,,86248,,,
"The American comic book catalogue :the evolutionary era, 1884-1939",01/01/1990,,Mansell,,8768548,720119774,1,American comics,,86249,,,
The best of 'Wimmen's comix' and other comix by women,01/01/1979,,Hassle Free Press,,10119985,861660021,1,American comics,,86250,,,
Star wars weekly.,01/01/1978,,[Marvel Comics International Ltd],,10365204,,1,American comics,,86251,,,
Spider-Man pocket book.,01/01/2014,,Marvel Comics,,10550796,,1,American comics,,86252,,,
The Titans pocket book.,01/01/1980,,[Marvel Comics],,10550939,,1,American comics,,86253,,,
Conan the Barbarian pocket book.,01/01/1980,,Marvel Comics,,10550940,,1,American comics,,86254,,,
The Incredible Hulk pocket book.,01/01/1980,,Marvel Comics,,10550941,,1,American comics,,86255,,,
Young romance pocket book.,01/01/1980,,[Marvel Comics],,10550942,,1,American comics,,86256,,,
Savage action :[a Marvel monthly].,01/01/1980,,Marvel Comics,,10550976,,1,American comics,,86257,,,
Frantic :[a monthly Marvel].,01/01/1980,,Marvel Comics,,10551519,,1,American comics,,86258,,,
Bat man pocketbook.,01/01/1978,,Egmont Pub.,,10551990,,1,American comics,,86259,,,
Captain Britain :a 'Marvel' summer special.,01/01/1980,,[Marvel Comics Ltd],,10996627,,1,American comics,,86260,,,
Star heroes pocket book.,01/01/1980,,Marvel Comics,,10998813,,1,American comics,,86261,,,
The Transformers.,01/01/1984,,Marvel Comics,,11141572,,1,American comics,,86263,,,
Marvel madhouse.,01/01/1981,,Marvel Comics Ltd.,,11172187,,1,American comics,,86264,,,
The X-men pocket book.,01/01/1980,,Marvel Comics,,11173594,,1,American comics,,86265,,,
The Disney magazine annual.,01/01/1982,,London Editions Magazines,,11180907,,1,American comics,,86266,,,
Marvel super heroes secret wars.,01/01/1985,,Marvel Comics,,11191448,,1,American comics,,86267,,,
Read yourself RAW,01/01/1989,,Pantheon [i.e. Penguin],,11308268,140127798,1,American comics,,86268,,,
The Avengers.,01/01/1982,,Marvel Comics Ltd,,11634798,,1,American comics,,86269,,,
Speakeasy.,01/01/1979,,ACME,,11813864,,1,American comics,,86270,,,
Batman monthly.,01/01/1988,,[London Editions Magazines],,11823997,,1,American comics,,86272,,,
Disney's ducktales TV special.,01/01/1989,,London Editions Magazines,,11825222,,1,American comics,,86273,,,
The Disney magazine.,01/01/1982,,London Editions Magazines,,15491352,,1,American comics,,86276,,,
Comix :a history of comic books in America,01/01/1973,,Wildwood House,,9689981,704500221,1,"American comics, to 1972",,86278,,,
The Mask strikes back,01/01/1996,,Titan,,12029311,1852866993,1,American fiction / 20th century.,,86279,,,
Barb Wire,01/01/1996,,Titan,,12029319,1852867108,1,American fiction / 20th century.,,86280,,,
The Joker :devil's advocate,01/01/1996,,"Titan by arrangement with DC Comics, New York",,13289740,1852867779,1,American fiction / 20th century.,,86281,,,
Shadows past & present,01/01/1996,,Titan,,13289756,1852867353,1,American fiction / 20th century.,,86282,,,
The Garfield gallery,01/01/1984,,Hodder and Stoughton,,6724700,340360011,1,American humorous cartoons,,86283,,,
The Ultimate fat book,01/01/1983,,Angus & Robertson,,7358689,207146691,1,American humorous cartoons,,86285,,,
Testament :a collection of satirical drawings 1960-80,01/01/1985,,Cape,,7362704,224022636,1,American humorous cartoons,,86286,,,
Once in a lifetime,01/01/1984,,Cape,,7362768,224022989,1,American humorous cartoons,,86287,,,
The New Yorker Cartoon album 1975-1985.,01/01/1986,,Deutsch,,7371676,233978860,1,American humorous cartoons,,86289,,,
Lurie's almanack :being the true history of the world in art and prose from 1980 to the present day,01/01/1982,,Secker & Warburg,,7379091,436269414,1,American humorous cartoons,,86290,,,
Wallace Tripp's Wurst seller.,01/01/1982,,World's Work,,7379796,437174506,1,American humorous cartoons,,86291,,,
Cat's revenge :more than 101 uses for dead people,01/01/1982,,New English Library,,7388607,450054594,1,American humorous cartoons,,86292,,,
Cat's revenge II :more uses for dead people,01/01/1982,,New English Library,,7388640,450055248,1,American humorous cartoons,,86293,,,
An unexbeargated compbearhensive in compbearable book of celebearties other bears,01/01/1980,,Dent,,7391084,460045067,1,American humorous cartoons,,86294,,,
Dancing cats ;and Neglected murderesses,01/01/1980,,Dent,,7391296,460060686,1,American humorous cartoons,,86295,,,
The art of humorous illustration,01/01/1973,,Watson-Guptill,,7427517,823002691,1,American humorous cartoons,,86296,,,
Work is a lousy way to earn a living,01/01/1983,,Exley,,7432908,905521978,1,American humorous cartoons,,86299,,,
"Marmaduke, super dog",01/01/1985,,Ravette,,7440744,906710928,1,American humorous cartoons,,86300,,,
Nobody is perfick,01/01/1973,,Angus and Robertson,,7686548,207954577,1,American humorous cartoons,,86301,,,
Snoopy and his Sopwith Camel,01/01/1978,,Coronet,,7737126,340223073,1,American humorous cartoons,,86302,,,
"It's show time Snoopy :selected cartoons from 'Speak softly and carry a beagle', Vol.2",01/01/1979,,Coronet,,7737173,340245174,1,American humorous cartoons,,86303,,,
The portable Hamlet,01/01/1985,,Javelin,,8081877,071371753X,1,American humorous cartoons,,86304,,,
Inside Romeo and Juliet,01/01/1985,,Javelin,,8081878,713717548,1,American humorous cartoons,,86305,,,
"Fido dido, or, Living life in the third lane",01/01/1988,,David & Charles,,8090690,715393022,1,American humorous cartoons,,86306,,,
Peter Arno's man in the shower.,01/01/1976,,Duckworth,,8091421,715615807,1,American humorous cartoons,,86307,,,
Peter Arno's sizzling platter.,01/01/1977,,Duckworth,,8091464,715612697,1,American humorous cartoons,,86308,,,
Drawn from the Economist :a collection of caricatures,01/01/1988,,Economist Publication,,8114428,850582768,1,American humorous cartoons,,86309,,,
What's so funny about science?,01/01/1977,,Kaufmann,,8119792,913232424,1,American humorous cartoons,,86310,,,
So this is love :cartoons from 'Playboy',01/01/1972,,Pan Books,,8355570,330231839,1,American humorous cartoons,,86312,,,
Doctor! doctor! :cartoons from 'Playboy'.,01/01/1972,,Pan Books,,8355571,330231847,1,American humorous cartoons,,86313,,,
Why do I get an irresistible urge to laugh every time I make love? :cartoons from 'Playboy'.,01/01/1972,,Pan Books,,8355572,330231855,1,American humorous cartoons,,86314,,,
We can't go on meeting like this :cartoons from 'Playboy'.,01/01/1972,,Pan Books,,8355587,330232223,1,American humorous cartoons,,86315,,,
Not until you take off that silly hat :cartoons from 'Playboy'.,01/01/1972,,Pan Books,,8355588,330232231,1,American humorous cartoons,,86316,,,
"Good-bye, cruel world :cartoons from 'Playboy'",01/01/1972,,Pan Books,,8355589,330232258,1,American humorous cartoons,,86317,,,
"Charlie Brown and Snoopy :selected cartoons from 'As you like it, Charlie Brown'. Vol.1",01/01/1971,,Coronet,,8359753,340125209,1,American humorous cartoons,,86318,,,
"You've done it again, Charlie Brown :selected cartoons from 'We're right behind you, Charlie Brown. Vol.2'",01/01/1971,,Coronet,,8359754,340125217,1,American humorous cartoons,,86319,,,
The wonderful world of Peanuts :selected cartoons from 'More Peanuts'. Vol.1,01/01/1971,,Coronet,,8359762,340125438,1,American humorous cartoons,,86320,,,
"What next, Charlie Brown? :selected cartoons from 'You're out of your mind, Charlie Brown'. Vol.2.",01/01/1971,,Coronet,,8359763,340125446,1,American humorous cartoons,,86321,,,
"What were you saying, Charlie Brown?",01/01/1971,,Knight Books,,8359898,340148047,1,American humorous cartoons,,86322,,,
"You're the greatest, Charlie Brown :selected cartoons from 'As you like it, Charlie Brown'. Vol.2",01/01/1971,,Coronet,,8360040,340151358,1,American humorous cartoons,,86323,,,
B.C. strikes back,01/01/1971,,Coronet,,8360177,340156791,1,American humorous cartoons,,86324,,,
Hey! B.C.,01/01/1971,,Coronet,,8360182,340156945,1,American humorous cartoons,,86325,,,
"You're a pal, Snoopy!",01/01/1972,,Coronet,,8360184,340156961,1,American humorous cartoons,,86326,,,
"You're not for real, Snoopy!",01/01/1972,,Coronet,,8360185,340156988,1,American humorous cartoons,,86327,,,
The king is a fink,01/01/1972,,Coronet,,8360217,340158166,1,American humorous cartoons,,86328,,,
The wondrous wizard of Id,01/01/1972,,Coronet,,8360219,340158182,1,American humorous cartoons,,86329,,,
"Have it your way, Charlie Brown",01/01/1972,,Coronet,,8360225,034015828X,1,American humorous cartoons,,86330,,,
"It's for you, Snoopy :selected cartoons from 'Sunday's fun day, Charlie Brown, vol.1'",01/01/1972,,Coronet,,8360226,340158298,1,American humorous cartoons,,86331,,,
The peasants are revolting,01/01/1972,,Coronet,,8360464,034016476X,1,American humorous cartoons,,86332,,,
Back to B.C.,01/01/1972,,Coronet,,8360465,340164778,1,American humorous cartoons,,86333,,,
Snoopy and 'It was a dark and stormy night',01/01/1972,,Hodder and Stoughton,,8360533,340165944,1,American humorous cartoons,,86334,,,
"What now, Charlie Brown? :selected cartoons ...",01/01/1973,,Coronet,,8360571,340167122,1,American humorous cartoons,,86335,,,
"What's new, B.C.?",01/01/1973,,Coronet,,8360635,340168811,1,American humorous cartoons,,86336,,,
Remember the golden rule,01/01/1973,,Coronet,,8360637,340168994,1,American humorous cartoons,,86337,,,
"You've got a friend, Charlie Brown :selected cartoons from 'You'll flip, Charlie Brown', Vol.1",01/01/1973,,Coronet,,8360787,034017417X,1,American humorous cartoons,,86338,,,
"Take it easy, Charlie Brown :selected cartoons from 'You'll flip, Charlie Brown, Vol.2'",01/01/1973,,Coronet,,8360919,340178442,1,American humorous cartoons,,86339,,,
There's a fly in my swill,01/01/1974,,Coronet,,8361151,340186046,1,American humorous cartoons,,86340,,,
"Your choice, Snoopy",01/01/1974,,Coronet,,8361188,340186631,1,American humorous cartoons,,86341,,,
BC on the rocks,01/01/1974,,Coronet,,8361237,340188200,1,American humorous cartoons,,86342,,,
"Try it again, Charlie Brown",01/01/1974,,Coronet,,8361243,340188316,1,American humorous cartoons,,86343,,,
Well God I goofed again,01/01/1976,,Collins,,8713974,1849212,1,American humorous cartoons,,86344,,,
Christmas is together-time,01/01/1982,,Collins,,8714646,1953222,1,American humorous cartoons,,86345,,,
I need all the friends I can get,01/01/1982,,Collins,,8714647,1953230,1,American humorous cartoons,,86346,,,
The joy of frogs,01/01/1984,,Souvenir,,8737044,285626426,1,American humorous cartoons,,86347,,,
Favorite haunts,01/01/1977,,W.H. Allen,,8742713,491017782,1,American humorous cartoons,,86349,,,
"Men, women and dogs",01/01/1977,,W.H. Allen,,8742804,491019580,1,American humorous cartoons,,86350,,,
Cat ...,01/01/1977,,W.H. Allen,,8742837,049102021X,1,American humorous cartoons,,86351,,,
Great moments in architecture,01/01/1979,,Benn,,8747241,510000584,1,American humorous cartoons,,86354,,,
No comment :cartoons,01/01/1978,,J. Murray,,8766151,719536138,1,American humorous cartoons,,86355,,,
Dear God kids,01/01/1985,,Ebury,,8792658,852234821,1,American humorous cartoons,,86356,,,
The return of a 'Mad' look at old movies,01/01/1970,,New American Library,,9034900,451004086,1,American humorous cartoons,,86358,,,
Mad about 'Mad',01/01/1970,,New English Library,,9034901,451005058,1,American humorous cartoons,,86360,,,
William M. Gaines's 'Mad' power,01/01/1970,,New English Library,,9034902,451005120,1,American humorous cartoons,,86361,,,
'Mad's' Al Jaffee spews out more snappy answers to stupid questions,01/01/1972,,New American Library,,9034906,451006119,1,American humorous cartoons,,86362,,,
The underground sketchbook of Tomi Ungerer,01/01/1972,,Dover Publications,,9037564,486205363,1,American humorous cartoons,,86364,,,
The underground sketchbook of Jan Faust.,01/01/1971,,Dover Publications,,9037702,486227405,1,American humorous cartoons,,86366,,,
Young pillars :the creator of 'Peanuts' takes a look at Church young people,01/01/1972,,Lakeland Paperbacks,,9041036,551003480,1,American humorous cartoons,,86368,,,
'Teen-ager' is not a disease,01/01/1972,,Lakeland Paperbacks,,9041037,551003499,1,American humorous cartoons,,86369,,,
What was bugging ol' Pharaoh?,01/01/1972,,Lakeland Paperbacks,,9041038,551003561,1,American humorous cartoons,,86370,,,
Help! I've changed my mind!,01/01/1985,,Fontana,,9374259,6369324,1,American humorous cartoons,,86371,,,
Dogs are better than cats,01/01/1985,,Fontana,,9374267,6369499,1,American humorous cartoons,,86372,,,
No good men :things men do that make women mad,01/01/1983,,Orbis,,9459491,856136026,1,American humorous cartoons,,86373,,,
No good lawyers,01/01/1985,,Orbis,,9459569,856138134,1,American humorous cartoons,,86374,,,
Herman for lovers,01/01/1983,,Sheldon,,9468358,859693856,1,American humorous cartoons,,86375,,,
Herman for the hospitalized,01/01/1983,,Sheldon,,9468359,859693864,1,American humorous cartoons,,86376,,,
Herman for pet fanciers,01/01/1983,,Sheldon,,9468360,859693872,1,American humorous cartoons,,86377,,,
The latest Herman,01/01/1985,,Sheldon,,9468402,085969481X,1,American humorous cartoons,,86378,,,
Ziggy-,01/01/1973,,Foulsham,,9681184,572009119,1,American humorous cartoons,,86379,,,
Dinosaur joke book,01/01/1973,,Collins,,9926017,1381849,1,American humorous cartoons,,86380,,,
The best of Gluyas Williams,01/01/1971,,Dover Publications,,9926403,486227375,1,American humorous cartoons,,86381,,,
Hurray for B.C. :selected cartoons from 'The Sunday best of B.C.',01/01/1973,,Coronet,,9938859,034016879X,1,American humorous cartoons,,86383,,,
"You're something special, Snoopy! :selected cartoons from 'The unsinkable Charlie Brown', Vol.2",01/01/1973,,Coronet,,9940979,034017322X,1,American humorous cartoons,,86384,,,
"Animals, animals, animals :a collection of great animal cartoons",01/01/1979,,Harper and Row,,10023516,60104295,1,American humorous cartoons,,86385,,,
Parallel universes :cartoons,01/01/1984,,Harper & Row,,10025208,60911778,1,American humorous cartoons,,86386,,,
Bruce McCall's Zany afternoons.,01/01/1983,,Picador,,10043078,330269496,1,American humorous cartoons,,86387,,,
The Gang of eight,01/01/1985,,Faber,,10068677,057112531X,1,American humorous cartoons,,86388,,,
The next Szep book,01/01/1985,,Faber and Faber,,10068679,571125417,1,American humorous cartoons,,86389,,,
Cracked.,01/01/1976,,Byblos Productions Ltd,,10536542,,1,American humorous cartoons,,86390,,,
BC it's a funny world,01/01/1976,,Coronet,,10686671,340207620,1,American humorous cartoons,,86391,,,
The Garfield treasury,01/01/1982,,Hodder and Stoughton,,10689204,340287853,1,American humorous cartoons,,86392,,,
Snoopy parade,01/01/1983,,Hodder and Stoughton,,10689384,340328908,1,American humorous cartoons,,86393,,,
Snoopy and the twelve days of Christmas,01/01/1984,,Hodder and Stoughton Childrens,,10690161,340361190,1,American humorous cartoons,,86394,,,
"B.C., I don't wanta hear about it",01/01/1985,,Caronet,,10690614,340379049,1,American humorous cartoons,,86396,,,
The calculating cat returns,01/01/1979,,Muller,,10704723,584103689,1,American humorous cartoons,,86397,,,
The natural superiority of the left-hander,01/01/1980,,Muller,,10704747,584104383,1,American humorous cartoons,,86398,,,
Throw a tomato :and 151 other ways to be mean and nasty,01/01/1981,,Muller,,10704788,584107641,1,American humorous cartoons,,86399,,,
No good dogs,01/01/1983,,Hamlyn Paperbacks,,10712912,600208222,1,American humorous cartoons,,86400,,,
How to make love to a cat,01/01/1983,,Hamlyn Paperbacks,,10712913,600208230,1,American humorous cartoons,,86401,,,
My crowd,01/01/1971,,Tom Stacey Ltd,,10970369,854680535,1,American humorous cartoons,,86402,,,
William Hamilton's anti-social register.,01/01/1977,,Penguin,,11305087,140043845,1,American humorous cartoons,,86404,,,
The Penguin Edward Koren :cartoons,01/01/1982,,Penguin,,11305695,140053344,1,American humorous cartoons,,86406,,,
"Well, there's your problem :cartoons",01/01/1981,,Penguin,,11306009,140059679,1,American humorous cartoons,,86407,,,
Jules Feiffer's America :from Eisenhower to Reagan,01/01/1982,,Penguin,,11306312,140066128,1,American humorous cartoons,,86408,,,
BC cave in,01/01/1975,,Coronet,,10686314,340198737,1,American humorous strip cartoons,,86567,,,
The biggest tongue in Tunisia :and other drawings,01/01/1986,,Penguin,,11306593,140072209,1,American humorous cartoons,,86410,,,
The New Yorker cartoon album :1975-1985.,01/01/1986,,Penguin,,11306879,140081119,1,American humorous cartoons,,86411,,,
The prehistory of The far side,01/01/1990,,Macdonald,,11326508,356192016,1,American humorous cartoons,,86412,,,
Short people arise!!,01/01/1984,,Exley,,11392345,1850150214,1,American humorous cartoons,,86413,,,
Ziggy's little book of thrills,01/01/1984,,Exley,,11392346,1850150222,1,American humorous cartoons,,86414,,,
Hagar the Horrible's very nearly complete Viking handbook,01/01/1988,,Attica,,11402386,1851761497,1,American humorous cartoons,,86415,,,
"Garfield, I like birthdays because-.",01/01/1988,,Attica,,11402389,1851761527,1,American humorous cartoons,,86416,,,
"Garfield, on your 40th birthday-.",01/01/1988,,Attica,,11402391,1851761551,1,American humorous cartoons,,86417,,,
"Garfield, you know it's time to diet when-.",01/01/1988,,Attica,,11402392,185176156X,1,American humorous cartoons,,86418,,,
"Garfield, cheer up! things could be worse-.",01/01/1988,,Attica,,11402393,1851761578,1,American humorous cartoons,,86419,,,
Garfield :you've reached the age when ...,01/01/1988,,Attica,,11402394,1851761586,1,American humorous cartoons,,86420,,,
"Garfield, everybody loves a weekend because-.",01/01/1988,,Attica,,11402395,1851761594,1,American humorous cartoons,,86421,,,
Never eat anything bigger than your head and other drawings,01/01/1982,,Methuen,,11633403,413391108,1,American humorous cartoons,,86422,,,
